,Date,Ticker,Sector,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_tot,Open,High,Low,Close,Volume
101,2019-08-02,MSFT,Technology,0.037,0.037,0.037,0.037,131.696,131.915,128.997,130.561,30791600.0
102,2019-08-05,MSFT,Technology,0.,0.,0.,0.,127.128,127.728,124.724,126.088,42749600.0
103,2019-08-06,MSFT,Technology,0.,0.,0.,0.,127.605,129.397,127.042,128.453,32696700.0
104,2019-08-07,MSFT,Technology,0.,0.,0.,0.,127.595,129.369,125.726,129.016,33414500.0
105,2019-08-08,MSFT,Technology,0.,0.,0.,0.,130.275,132.554,129.636,132.459,27496500.0
106,2019-08-09,MSFT,Technology,0.,0.,0.,0.,132.192,132.926,130.141,131.333,23466700.0
107,2019-08-12,MSFT,Technology,0.02225,0.02225,0.02225,0.02225,130.723,131.476,128.978,129.502,20484300.0
108,2019-08-13,MSFT,Technology,0.02367,0.02367,0.02367,0.02367,129.750,132.373,128.749,132.182,25154600.0
109,2019-08-14,MSFT,Technology,0.,0.,0.,0.,130.479,131.015,127.905,128.202,32527300.0
110,2019-08-15,MSFT,Technology,0.03425,0.03425,0.03425,0.03425,128.594,128.776,126.546,127.915,28074400.0
111,2019-08-16,MSFT,Technology,0.,0.,0.,0.,129.063,130.575,128.91,130.259,24449100.0
112,2019-08-17,MSFT,Technology,0.,0.,0.,0.,129.063,130.575,128.91,130.259,24449100.0
113,2019-08-19,MSFT,Technology,0.01883,0.01883,0.01883,0.01883,131.905,132.575,130.986,132.441,24355700.0
114,2019-08-20,MSFT,Technology,0.,0.,0.,0.,132.249,132.728,131.321,131.340,21170800.0
115,2019-08-21,MSFT,Technology,0.0785,0.0785,0.0785,0.0785,132.575,133.474,132.048,132.804,14970300.0
116,2019-08-22,MSFT,Technology,0.037,0.037,0.037,0.037,132.68,133.197,130.412,131.838,18697000.0
117,2019-08-23,MSFT,Technology,0.045,0.045,0.045,0.045,131.273,132.383,127.073,127.637,38508600.0
118,2019-08-26,MSFT,Technology,0.089,0.089,0.089,0.089,129.168,129.713,128.125,129.608,20312600.0
119,2019-08-27,MSFT,Technology,0.00956,0.00956,0.00956,0.00956,130.508,130.823,128.852,129.886,23102100.0
120,2019-08-28,MSFT,Technology,0.,0.,0.,0.,129.063,129.905,127.790,129.714,17393300.0
121,2019-08-29,MSFT,Technology,0.,0.,0.,0.,131.331,132.469,131.005,132.163,20168700.0
122,2019-08-30,MSFT,Technology,0.044,0.044,0.044,0.044,133.149,133.177,130.393,131.914,23940100.0
123,2019-08-31,MSFT,Technology,0.,0.,0.,0.,133.149,133.177,130.393,131.914,23940100.0
124,2019-09-03,MSFT,Technology,0.015,0.015,0.015,0.015,130.718,131.283,129.847,130.173,18869300.0
125,2019-09-04,MSFT,Technology,0.,0.,0.,0.,131.378,131.752,130.594,131.694,17995900.0
126,2019-09-05,MSFT,Technology,0.066,0.066,0.066,0.066,133.110,134.326,132.775,134.01,26101800.0
127,2019-09-06,MSFT,Technology,0.,0.,0.,0.,133.991,134.134,132.24,133.101,20824500.0
128,2019-09-08,MSFT,Technology,0.,0.,0.,0.,133.991,134.134,132.24,133.101,20824500.0
129,2019-09-09,MSFT,Technology,0.041,0.041,0.041,0.041,133.57,133.723,130.575,131.589,25773900.0
130,2019-09-10,MSFT,Technology,0.,0.,0.,0.,130.900,130.986,128.709,130.211,28903400.0
131,2019-09-12,MSFT,Technology,0.,0.,0.,0.,131.905,132.450,130.967,131.589,27010000.0
132,2019-09-13,MSFT,Technology,0.1085,0.1085,0.1085,0.1085,131.838,132.106,130.68,131.398,23363100.0
133,2019-09-14,MSFT,Technology,0.,0.,0.,0.,131.838,132.106,130.68,131.398,23363100.0
134,2019-09-16,MSFT,Technology,0.,0.,0.,0.,129.972,130.804,129.809,130.450,16731400.0
135,2019-09-18,MSFT,Technology,0.032,0.032,0.032,0.032,131.436,132.689,130.642,132.546,23982100.0
136,2019-09-19,MSFT,Technology,0.01895,0.01895,0.01895,0.01895,134.249,136.23,134.029,134.986,35772100.0
137,2019-09-20,MSFT,Technology,0.06667,0.06667,0.06667,0.06667,134.928,135.541,132.287,133.426,39167300.0
138,2019-09-23,MSFT,Technology,0.0114,0.0114,0.0114,0.0114,133.225,133.608,132.469,133.139,17139300.0
139,2019-09-24,MSFT,Technology,0.07889,0.07889,0.07889,0.07889,134.306,134.622,130.977,131.455,29773200.0
140,2019-09-25,MSFT,Technology,0.03443,0.03443,0.03443,0.03443,131.57,133.924,130.163,133.35,21382000.0
141,2019-09-26,MSFT,Technology,0.,0.,0.,0.,133.426,134.134,132.469,133.522,17456600.0
142,2019-09-27,MSFT,Technology,0.,0.,0.,0.,134.106,134.306,130.756,131.79,22477700.0
143,2019-09-30,MSFT,Technology,0.02075,0.02075,0.02075,0.02075,132.096,133.216,131.838,133.034,17280900.0
144,2019-10-01,MSFT,Technology,0.03967,0.03967,0.03967,0.03967,133.637,134.201,131.091,131.158,21466600.0
145,2019-10-02,MSFT,Technology,0.01507,0.01507,0.01507,0.01507,130.374,130.489,127.819,128.843,30521700.0
146,2019-10-03,MSFT,Technology,0.011,0.011,0.011,0.011,129.13,130.852,127.474,130.402,24132900.0
147,2019-10-04,MSFT,Technology,0.,0.,0.,0.,130.852,132.287,130.536,132.163,22897700.0
148,2019-10-05,MSFT,Technology,0.,0.,0.,0.,130.852,132.287,130.536,132.163,22897700.0
149,2019-10-07,MSFT,Technology,0.,0.,0.,0.,131.225,132.220,131.111,131.206,15303700.0
150,2019-10-08,MSFT,Technology,0.03783,0.03783,0.03783,0.03783,131.168,131.819,129.771,129.819,25550500.0
151,2019-10-09,MSFT,Technology,0.078,0.078,0.078,0.078,131.532,132.718,131.063,132.278,19749900.0
152,2019-10-10,MSFT,Technology,0.0445,0.0445,0.0445,0.0445,132.517,133.646,132.287,133.101,17654600.0
153,2019-10-14,MSFT,Technology,0.0916,0.0916,0.0916,0.0916,133.665,134.239,133.503,133.531,13304300.0
154,2019-10-16,MSFT,Technology,0.01167,0.01167,0.01167,0.01167,134.718,134.909,133.512,134.354,20751600.0
155,2019-10-17,MSFT,Technology,0.00233,0.00233,0.00233,0.00233,134.871,135.321,133.024,133.665,21460600.0
156,2019-10-18,MSFT,Technology,0.,0.,0.,0.,133.732,133.962,130.670,131.484,32273500.0
157,2019-10-19,MSFT,Technology,0.0685,0.0685,0.0685,0.0685,133.732,133.962,130.670,131.484,32273500.0
158,2019-10-21,MSFT,Technology,0.0102,0.0102,0.0102,0.0102,132.479,132.527,131.101,132.46,20078200.0
159,2019-10-22,MSFT,Technology,0.02167,0.02167,0.02167,0.02167,132.976,133.972,130.383,130.489,27431000.0
160,2019-10-23,MSFT,Technology,0.00829,0.00829,0.00829,0.00829,130.977,131.522,129.761,131.321,29844600.0
161,2019-10-24,MSFT,Technology,0.00625,0.00625,0.00625,0.00625,133.378,134.364,132.689,133.905,37029300.0
162,2019-10-25,MSFT,Technology,0.04044,0.04044,0.04044,0.04044,133.330,135.053,133.196,134.660,25959700.0
163,2019-10-26,MSFT,Technology,0.01071,0.01071,0.01071,0.01071,133.330,135.053,133.196,134.660,25959700.0
164,2019-10-27,MSFT,Technology,0.023,0.023,0.023,0.023,133.330,135.053,133.196,134.660,25959700.0
165,2019-10-28,MSFT,Technology,0.05,0.05,0.05,0.05,138.172,139.387,137.321,137.971,35280100.0
166,2019-10-29,MSFT,Technology,0.0702,0.0702,0.0702,0.0702,137.866,138.268,136.498,136.67,20589500.0
167,2019-10-30,MSFT,Technology,0.,0.,0.,0.,137.330,138.746,136.632,138.373,18496600.0
168,2019-10-31,MSFT,Technology,0.01783,0.01783,0.01783,0.01783,138.651,138.679,136.823,137.187,24605100.0
169,2019-11-01,MSFT,Technology,0.0312,0.0312,0.0312,0.0312,138.038,138.191,136.804,137.522,33128400.0
170,2019-11-02,MSFT,Technology,0.,0.,0.,0.,138.038,138.191,136.804,137.522,33128400.0
171,2019-11-04,MSFT,Technology,0.02012,0.02012,0.02012,0.02012,138.584,138.746,137.943,138.316,16912000.0
172,2019-11-05,MSFT,Technology,0.079,0.079,0.079,0.079,138.718,138.766,137.703,138.23,18250200.0
173,2019-11-06,MSFT,Technology,0.063,0.063,0.063,0.063,138.144,138.287,137.024,137.847,16575800.0
174,2019-11-07,MSFT,Technology,0.0225,0.0225,0.0225,0.0225,137.636,138.632,137.569,138.038,17786700.0
175,2019-11-08,MSFT,Technology,0.,0.,0.,0.,137.770,139.694,137.56,139.665,16732700.0
176,2019-11-11,MSFT,Technology,0.01233,0.01233,0.01233,0.01233,139.072,140.105,138.488,139.808,14362600.0
